Month,Region,List cost ($),Negotiated savings ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($)
2025-11,europe-west9,43.86,0.00,0.00,0.00,43.855523,43.86
2025-11,,7.54,0.00,0.00,0.00,7.540000,7.54
2025-11,asia-east1,2.31,0.00,0.00,0.00,2.310322,2.31
2025-11,europe-west4,2.16,0.00,0.00,0.00,2.156316,2.16
2025-11,us-central2,2.12,0.00,0.00,0.00,2.116136,2.12
2025-11,us-east1,2.11,0.00,0.00,0.00,2.112319,2.11
2025-11,us-west1,2.09,0.00,0.00,0.00,2.085362,2.09
2025-11,europe-west2,0.05,0.00,0.00,0.00,0.050259,0.05
2025-11,europe-west12,0.00,0.00,0.00,0.00,0.002322,0.00
2025-11,europe-central2,0.00,0.00,0.00,0.00,0.000621,0.00
2025-11,us-east4,0.00,0.00,0.00,0.00,0.000132,0.00
2025-11,europe-north2,0.00,0.00,0.00,0.00,0.000084,0.00
2025-11,us-west2,0.00,0.00,0.00,0.00,0.000069,0.00
2025-11,asia-south1,0.00,0.00,0.00,0.00,0.000055,0.00
2025-11,asia-southeast2,0.00,0.00,0.00,0.00,0.000055,0.00
2025-11,asia-east2,0.00,0.00,0.00,0.00,0.000053,0.00
2025-11,us-east5,0.00,0.00,0.00,0.00,0.000050,0.00
2025-11,asia-northeast1,0.00,0.00,0.00,0.00,0.000047,0.00
2025-11,asia-south2,0.00,0.00,0.00,0.00,0.000033,0.00
2025-11,us-east7,0.00,0.00,0.00,0.00,0.000030,0.00
2025-11,europe-west6,0.00,0.00,0.00,0.00,0.000016,0.00
2025-11,asia-southeast1,0.00,0.00,0.00,0.00,0.000010,0.00
2025-11,australia-southeast1,0.00,0.00,0.00,0.00,0.000007,0.00
2025-11,europe-west8,0.00,0.00,0.00,0.00,0.000004,0.00
2025-11,southamerica-east1,0.00,0.00,0.00,0.00,0.000002,0.00
2025-11,asia-northeast3,0.00,0.00,0.00,0.00,0.000001,0.00
2025-11,europe-southwest1,0.00,0.00,0.00,0.00,0.000001,0.00
2025-11,southamerica-west1,0.00,0.00,0.00,0.00,0.000001,0.00
2025-11,us-south1,0.00,0.00,0.00,0.00,0.000001,0.00
2025-11,northamerica-northeast2,0.00,0.00,0.00,0.00,0.000000,0.00
2025-11,us-west8,0.00,0.00,0.00,0.00,0.000000,0.00
2025-10,europe-west1,48201.02,0.00,-15826.86,-1088.82,31285.328656,31285.33
2025-10,europe,9022.98,0.00,0.00,0.00,9022.983132,9022.98
2025-10,europe-west3,8438.97,0.00,-3497.32,-51.82,4889.819962,4889.82
2025-10,eu,2699.78,0.00,0.00,0.00,2699.782568,2699.78
2025-10,us-central1,1228.77,0.00,0.00,-1.49,1227.280982,1227.28
2025-10,us,468.09,0.00,0.00,0.00,468.089107,468.09
2025-10,global,201.79,0.00,0.00,0.00,201.793636,201.79
2025-10,europe-north1,125.96,0.00,0.00,0.00,125.958274,125.96
2025-10,europe-west9,43.37,0.00,0.00,0.00,43.366417,43.37
2025-10,,9.01,0.00,0.00,0.00,9.013333,9.01
2025-10,europe-west4,3.20,0.00,0.00,0.00,3.202931,3.20
2025-10,asia-east1,2.14,0.00,0.00,0.00,2.144096,2.14
2025-10,us-east1,2.04,0.00,0.00,0.00,2.044401,2.04
2025-10,us-central2,2.02,0.00,0.00,0.00,2.017435,2.02
2025-10,us-west1,2.00,0.00,0.00,0.00,1.998090,2.00
2025-10,europe-west2,0.15,0.00,0.00,0.00,0.149014,0.15
2025-10,europe-west12,0.00,0.00,0.00,0.00,0.001558,0.00
2025-10,europe-central2,0.00,0.00,0.00,0.00,0.000230,0.00
2025-10,us-east4,0.00,0.00,0.00,0.00,0.000136,0.00
2025-10,me-central1,0.00,0.00,0.00,0.00,0.000116,0.00
2025-10,asia-southeast2,0.00,0.00,0.00,0.00,0.000060,0.00
2025-10,europe-north2,0.00,0.00,0.00,0.00,0.000059,0.00
2025-10,europe-west10,0.00,0.00,0.00,0.00,0.000045,0.00
2025-10,asia-southeast3,0.00,0.00,0.00,0.00,0.000032,0.00
2025-10,us-east7,0.00,0.00,0.00,0.00,0.000031,0.00
2025-10,us-west2,0.00,0.00,0.00,0.00,0.000031,0.00
2025-10,asia-southeast1,0.00,0.00,0.00,0.00,0.000020,0.00
2025-10,asia-east2,0.00,0.00,0.00,0.00,0.000018,0.00
2025-10,australia-southeast1,0.00,0.00,0.00,0.00,0.000016,0.00
2025-10,us-east5,0.00,0.00,0.00,0.00,0.000012,0.00
2025-10,europe-west8,0.00,0.00,0.00,0.00,0.000010,0.00
2025-10,europe-west6,0.00,0.00,0.00,0.00,0.000007,0.00
2025-10,asia-south1,0.00,0.00,0.00,0.00,0.000006,0.00
2025-10,asia-northeast3,0.00,0.00,0.00,0.00,0.000004,0.00
2025-10,us-south1,0.00,0.00,0.00,0.00,0.000003,0.00
2025-10,asia-south2,0.00,0.00,0.00,0.00,0.000002,0.00
2025-10,northamerica-northeast1,0.00,0.00,0.00,0.00,0.000002,0.00
2025-10,europe-southwest1,0.00,0.00,0.00,0.00,0.000001,0.00
2025-10,asia-northeast1,0.00,0.00,0.00,0.00,0.000001,0.00
2025-10,northamerica-northeast2,0.00,0.00,0.00,0.00,0.000001,0.00
2025-09,europe-west1,47706.25,0.00,-15314.21,-1085.51,31306.523137,31306.52
2025-09,europe,12469.43,0.00,0.00,0.00,12469.425496,12469.43
2025-09,europe-west3,8415.68,0.00,-3398.63,-48.92,4968.127927,4968.13
2025-09,eu,2780.18,0.00,0.00,0.00,2780.184215,2780.18
2025-09,us-central1,1235.04,0.00,0.00,-1.44,1233.598391,1233.60
2025-09,us,490.32,0.00,0.00,0.00,490.316982,490.32
2025-09,global,210.10,0.00,0.00,0.00,210.095691,210.10
2025-09,europe-north1,126.09,0.00,0.00,-0.00,126.091058,126.09
2025-09,europe-west9,42.71,0.00,0.00,0.00,42.705379,42.71
2025-09,,3.99,0.00,0.00,0.00,3.986667,3.99
2025-09,europe-west4,2.63,0.00,0.00,0.00,2.626056,2.63
2025-09,asia-east1,2.24,0.00,0.00,0.00,2.235094,2.24
2025-09,us-east1,1.96,0.00,0.00,0.00,1.955970,1.96
2025-09,us-central2,1.93,0.00,0.00,0.00,1.928240,1.93
2025-09,us-west1,1.91,0.00,0.00,0.00,1.910246,1.91
2025-09,europe-west2,0.15,0.00,0.00,0.00,0.145393,0.15
2025-09,us-east4,0.00,0.00,0.00,0.00,0.000153,0.00
2025-09,asia-southeast1,0.00,0.00,0.00,0.00,0.000144,0.00
2025-09,europe-central2,0.00,0.00,0.00,0.00,0.000092,0.00
2025-09,us-west2,0.00,0.00,0.00,0.00,0.000072,0.00
2025-09,asia-south1,0.00,0.00,0.00,0.00,0.000059,0.00
2025-09,europe-north2,0.00,0.00,0.00,0.00,0.000058,0.00
2025-09,europe-west12,0.00,0.00,0.00,0.00,0.000047,0.00
2025-09,northamerica-northeast1,0.00,0.00,0.00,0.00,0.000041,0.00
2025-09,europe-west6,0.00,0.00,0.00,0.00,0.000035,0.00
2025-09,us-east5,0.00,0.00,0.00,0.00,0.000030,0.00
2025-09,asia-east2,0.00,0.00,0.00,0.00,0.000027,0.00
2025-09,southamerica-east1,0.00,0.00,0.00,0.00,0.000021,0.00
2025-09,australia-southeast1,0.00,0.00,0.00,0.00,0.000019,0.00
2025-09,asia-northeast1,0.00,0.00,0.00,0.00,0.000017,0.00
2025-09,asia-northeast3,0.00,0.00,0.00,0.00,0.000017,0.00
2025-09,asia-northeast2,0.00,0.00,0.00,0.00,0.000011,0.00
2025-09,northamerica-northeast2,0.00,0.00,0.00,0.00,0.000007,0.00
2025-09,me-central1,0.00,0.00,0.00,0.00,0.000004,0.00
2025-09,asia-southeast2,0.00,0.00,0.00,0.00,0.000003,0.00
2025-09,southamerica-west1,0.00,0.00,0.00,0.00,0.000003,0.00
2025-09,europe-west10,0.00,0.00,0.00,0.00,0.000003,0.00
2025-09,asia-south2,0.00,0.00,0.00,0.00,0.000002,0.00
2025-09,us-south1,0.00,0.00,0.00,0.00,0.000002,0.00
2025-09,europe-west8,0.00,0.00,0.00,0.00,0.000002,0.00
2025-09,europe-southwest1,0.00,0.00,0.00,0.00,0.000001,0.00
2025-09,africa-south1,0.00,0.00,0.00,0.00,0.000001,0.00
2025-09,australia-southeast2,0.00,0.00,0.00,0.00,0.000001,0.00
2025-09,me-central2,0.00,0.00,0.00,0.00,0.000001,0.00
2025-09,me-west1,0.00,0.00,0.00,0.00,0.000001,0.00
2025-09,northamerica-south1,0.00,0.00,0.00,0.00,0.000001,0.00
2025-09,us-west3,0.00,0.00,0.00,0.00,0.000001,0.00
2025-09,us-west4,0.00,0.00,0.00,0.00,0.000001,0.00
2025-08,europe-west1,50553.92,0.00,-15908.21,-1327.16,33318.546605,33318.55
2025-08,europe,11846.87,0.00,0.00,0.00,11846.872286,11846.87
2025-08,europe-west3,8545.40,0.00,-3591.89,-55.12,4898.399081,4898.40
2025-08,eu,2667.81,0.00,0.00,0.00,2667.812252,2667.81
2025-08,us-central1,1317.03,0.00,0.00,-1.49,1315.544591,1315.54
2025-08,us,432.56,0.00,0.00,0.00,432.556189,432.56
2025-08,global,186.15,0.00,0.00,0.00,186.146406,186.15
2025-08,europe-north1,126.09,0.00,0.00,0.00,126.093777,126.09
2025-08,europe-west9,43.61,0.00,0.00,0.00,43.614571,43.61
2025-08,europe-west2,4.33,0.00,0.00,0.00,4.334985,4.33
2025-08,,2.69,0.00,0.00,0.00,2.686667,2.69
2025-08,europe-west4,2.21,0.00,0.00,0.00,2.213760,2.21
2025-08,asia-east1,2.01,0.00,0.00,0.00,2.014556,2.01
2025-08,us-east1,1.87,0.00,0.00,0.00,1.870301,1.87
2025-08,us-central2,1.84,0.00,0.00,0.00,1.843098,1.84
2025-08,us-west1,1.82,0.00,0.00,0.00,1.815938,1.82
2025-08,europe-central2,0.00,0.00,0.00,0.00,0.000591,0.00
2025-08,europe-west12,0.00,0.00,0.00,0.00,0.000141,0.00
2025-08,asia-southeast1,0.00,0.00,0.00,0.00,0.000109,0.00
2025-08,us-east4,0.00,0.00,0.00,0.00,0.000090,0.00
2025-08,europe-north2,0.00,0.00,0.00,0.00,0.000063,0.00
2025-08,us-east7,0.00,0.00,0.00,0.00,0.000044,0.00
2025-08,us-west2,0.00,0.00,0.00,0.00,0.000042,0.00
2025-08,us-east5,0.00,0.00,0.00,0.00,0.000035,0.00
2025-08,europe-west10,0.00,0.00,0.00,0.00,0.000030,0.00
2025-08,asia-east2,0.00,0.00,0.00,0.00,0.000029,0.00
2025-08,europe-west8,0.00,0.00,0.00,0.00,0.000028,0.00
2025-08,us-south1,0.00,0.00,0.00,0.00,0.000022,0.00
2025-08,me-central1,0.00,0.00,0.00,0.00,0.000011,0.00
2025-08,asia-northeast3,0.00,0.00,0.00,0.00,0.000008,0.00
2025-08,asia-south1,0.00,0.00,0.00,0.00,0.000008,0.00
2025-08,northamerica-northeast2,0.00,0.00,0.00,0.00,0.000006,0.00
2025-08,europe-west6,0.00,0.00,0.00,0.00,0.000005,0.00
2025-08,southamerica-west1,0.00,0.00,0.00,0.00,0.000004,0.00
2025-08,australia-southeast1,0.00,0.00,0.00,0.00,0.000003,0.00
2025-08,asia-northeast1,0.00,0.00,0.00,0.00,0.000002,0.00
2025-08,southamerica-east1,0.00,0.00,0.00,0.00,0.000001,0.00
2025-08,europe-southwest1,0.00,0.00,0.00,0.00,0.000001,0.00
2025-08,us-west8,0.00,0.00,0.00,0.00,0.000000,0.00
2025-07,europe-west1,49617.52,0.00,-15953.35,-1283.04,32381.133064,32381.13
2025-07,europe,9234.36,0.00,0.00,0.00,9234.355348,9234.36
2025-07,europe-west3,8844.77,0.00,-3619.13,-56.11,5169.531518,5169.53
2025-07,eu,2099.60,0.00,0.00,0.00,2099.600419,2099.60
2025-07,us-central1,1301.51,0.00,0.00,-1.49,1300.026307,1300.03
2025-07,us,548.57,0.00,0.00,0.00,548.571526,548.57
2025-07,global,377.94,0.00,0.00,0.00,377.943138,377.94
2025-07,europe-north1,125.99,0.00,0.00,0.00,125.993068,125.99
2025-07,europe-west9,43.43,0.00,0.00,0.00,43.430471,43.43
2025-07,,6.41,0.00,0.00,0.00,6.413333,6.41
2025-07,europe-west2,3.82,0.00,0.00,0.00,3.818053,3.82
2025-07,europe-west4,2.52,0.00,0.00,0.00,2.524333,2.52
2025-07,asia-east1,2.05,0.00,0.00,0.00,2.047521,2.05
2025-07,us-east1,1.77,0.00,0.00,0.00,1.773099,1.77
2025-07,us-central2,1.75,0.00,0.00,0.00,1.751664,1.75
2025-07,us-west1,1.71,0.00,0.00,0.00,1.713732,1.71
2025-07,europe-central2,0.00,0.00,0.00,0.00,0.001026,0.00
2025-07,us-west2,0.00,0.00,0.00,0.00,0.000080,0.00
2025-07,us-east4,0.00,0.00,0.00,0.00,0.000080,0.00
2025-07,asia-southeast1,0.00,0.00,0.00,0.00,0.000071,0.00
2025-07,asia-southeast2,0.00,0.00,0.00,0.00,0.000068,0.00
2025-07,us-east5,0.00,0.00,0.00,0.00,0.000057,0.00
2025-07,europe-west12,0.00,0.00,0.00,0.00,0.000049,0.00
2025-07,europe-north2,0.00,0.00,0.00,0.00,0.000046,0.00
2025-07,europe-west8,0.00,0.00,0.00,0.00,0.000035,0.00
2025-07,europe-west10,0.00,0.00,0.00,0.00,0.000017,0.00
2025-07,asia-east2,0.00,0.00,0.00,0.00,0.000012,0.00
2025-07,asia-northeast3,0.00,0.00,0.00,0.00,0.000006,0.00
2025-07,northamerica-northeast2,0.00,0.00,0.00,0.00,0.000006,0.00
2025-07,australia-southeast1,0.00,0.00,0.00,0.00,0.000005,0.00
2025-07,asia-south1,0.00,0.00,0.00,0.00,0.000004,0.00
2025-07,southamerica-west1,0.00,0.00,0.00,0.00,0.000003,0.00
2025-07,europe-west6,0.00,0.00,0.00,0.00,0.000003,0.00
2025-07,asia-northeast1,0.00,0.00,0.00,0.00,0.000002,0.00
2025-07,me-central1,0.00,0.00,0.00,0.00,0.000002,0.00
2025-07,us-west8,0.00,0.00,0.00,0.00,0.000002,0.00
2025-07,europe-southwest1,0.00,0.00,0.00,0.00,0.000001,0.00
2025-07,us-east7,0.00,0.00,0.00,0.00,0.000001,0.00
2025-07,us-south1,0.00,0.00,0.00,0.00,0.000001,0.00
2025-07,southamerica-east1,0.00,0.00,0.00,0.00,0.000000,0.00
2025-06,europe-west1,48060.24,0.00,-16512.89,-1149.52,30397.827949,30397.83
2025-06,europe,10294.90,0.00,0.00,0.00,10294.896102,10294.90
2025-06,europe-west3,8429.81,0.00,-3390.48,-50.54,4988.785291,4988.79
2025-06,us-central1,1261.26,0.00,0.00,-1.44,1259.816475,1259.82
2025-06,eu,707.82,0.00,0.00,0.00,707.819808,707.82
2025-06,us,495.25,0.00,0.00,0.00,495.249388,495.25
2025-06,global,373.90,0.00,0.00,0.00,373.897564,373.90
2025-06,europe-north1,125.79,0.00,0.00,0.00,125.787923,125.79
2025-06,europe-west9,41.88,0.00,0.00,0.00,41.883956,41.88
2025-06,,7.97,0.00,0.00,0.00,7.973333,7.97
2025-06,europe-west4,2.86,0.00,0.00,0.00,2.860748,2.86
2025-06,asia-east1,1.69,0.00,0.00,0.00,1.693034,1.69
2025-06,us-east1,1.67,0.00,0.00,0.00,1.670458,1.67
2025-06,us-central2,1.65,0.00,0.00,0.00,1.652728,1.65
2025-06,us-west1,1.62,0.00,0.00,0.00,1.622527,1.62
2025-06,asia-southeast1,0.23,0.00,0.00,0.00,0.232620,0.23
2025-06,europe-west2,0.03,0.00,0.00,0.00,0.033768,0.03
2025-06,us-west2,0.00,0.00,0.00,0.00,0.000325,0.00
2025-06,europe-west12,0.00,0.00,0.00,0.00,0.000109,0.00
2025-06,us-east4,0.00,0.00,0.00,0.00,0.000075,0.00
2025-06,europe-central2,0.00,0.00,0.00,0.00,0.000032,0.00
2025-06,europe-north2,0.00,0.00,0.00,0.00,0.000030,0.00
2025-06,asia-northeast3,0.00,0.00,0.00,0.00,0.000019,0.00
2025-06,northamerica-northeast2,0.00,0.00,0.00,0.00,0.000014,0.00
2025-06,asia-east2,0.00,0.00,0.00,0.00,0.000013,0.00
2025-06,us-east7,0.00,0.00,0.00,0.00,0.000012,0.00
2025-06,asia-south1,0.00,0.00,0.00,0.00,0.000011,0.00
2025-06,us-east5,0.00,0.00,0.00,0.00,0.000010,0.00
2025-06,australia-southeast1,0.00,0.00,0.00,0.00,0.000009,0.00
2025-06,europe-west8,0.00,0.00,0.00,0.00,0.000006,0.00
2025-06,asia-northeast1,0.00,0.00,0.00,0.00,0.000004,0.00
2025-06,europe-west6,0.00,0.00,0.00,0.00,0.000004,0.00
2025-06,northamerica-northeast1,0.00,0.00,0.00,0.00,0.000002,0.00
2025-06,asia-south2,0.00,0.00,0.00,0.00,0.000001,0.00
2025-06,asia-southeast2,0.00,0.00,0.00,0.00,0.000001,0.00
2025-06,us-south1,0.00,0.00,0.00,0.00,0.000000,0.00
2025-06,us-west8,0.00,0.00,0.00,0.00,0.000000,0.00
2025-05,europe-west1,50478.40,0.00,-17271.64,-1332.82,31873.940511,31873.94
2025-05,europe,10400.45,0.00,0.00,0.00,10400.453656,10400.45
2025-05,europe-west3,8674.01,0.00,-3506.87,-52.11,5115.033857,5115.03
2025-05,us-central1,1309.79,0.00,0.00,-1.49,1308.297810,1308.30
2025-05,eu,663.67,0.00,0.00,0.00,663.672324,663.67
2025-05,us,642.17,0.00,0.00,0.00,642.167159,642.17
2025-05,global,389.01,0.00,0.00,0.00,389.011934,389.01
2025-05,europe-north1,125.96,0.00,0.00,0.00,125.958291,125.96
2025-05,europe-west9,41.98,0.00,0.00,0.00,41.975570,41.98
2025-05,,5.72,0.00,0.00,0.00,5.720000,5.72
2025-05,europe-west4,3.45,0.00,0.00,0.00,3.446517,3.45
2025-05,asia-east1,1.59,0.00,0.00,0.00,1.594426,1.59
2025-05,us-east1,1.59,0.00,0.00,0.00,1.586634,1.59
2025-05,us-central2,1.56,0.00,0.00,0.00,1.556484,1.56
2025-05,us-west1,1.54,0.00,0.00,0.00,1.537562,1.54
2025-05,asia-southeast1,0.07,0.00,0.00,0.00,0.067527,0.07
2025-05,europe-west2,0.04,0.00,0.00,0.00,0.040101,0.04
2025-05,us-west2,0.00,0.00,0.00,0.00,0.000199,0.00
