Month,Project name,Project ID,Project number,List cost ($),Negotiated savings ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($)
2025-12,Project 005,project-005,000000000005,4493.88,0.00,-1190.43,-155.52,3147.931445,3147.93
2025-12,Project 006,project-006,000000000006,3329.45,0.00,-1075.66,-73.13,2180.661671,2180.66
2025-12,Project 007,project-007,000000000007,3104.80,0.00,-928.29,-34.43,2142.080555,2142.08
2025-12,Project 008,project-008,000000000008,2508.41,0.00,-566.39,-86.52,1855.495066,1855.50
2025-12,Project 009,project-009,000000000009,296.11,0.00,-74.97,-12.71,208.434374,208.43
2025-12,Project 010,project-010,000000000010,184.48,0.00,0.00,0.00,184.480242,184.48
2025-12,Project 011,project-011,000000000011,155.69,0.00,0.00,0.00,155.690021,155.69
2025-12,Project 026,,000000000026,85.87,0.00,-16.39,-0.10,69.381860,69.38
2025-12,Project 025,,000000000025,69.36,0.00,0.00,0.00,69.363346,69.36
2025-12,Project 012,project-012,000000000012,24.00,0.00,0.00,0.00,23.998222,24.00
2025-12,Project 013,project-013,000000000013,5.18,0.00,0.00,0.00,5.183954,5.18
2025-12,Project 014,project-014,000000000014,3.24,0.00,0.00,0.00,3.244358,3.24
2025-12,Project 015,project-015,000000000015,0.62,0.00,0.00,0.00,0.623300,0.62
2025-12,Project 016,project-016,000000000016,0.25,0.00,0.00,0.00,0.247948,0.25
2025-12,Project 017,project-017,000000000017,0.17,0.00,0.00,0.00,0.166902,0.17
2025-12,Project 018,project-018,000000000018,0.08,0.00,0.00,0.00,0.081127,0.08
2025-12,Project 019,project-019,000000000019,0.03,0.00,0.00,0.00,0.025620,0.03
2025-12,Project 020,project-020,000000000020,0.02,0.00,0.00,0.00,0.022549,0.02
2025-12,Project 021,project-021,000000000021,0.01,0.00,0.00,0.00,0.013138,0.01
2025-12,Project 022,project-022,000000000022,0.01,0.00,0.00,0.00,0.007415,0.01
2025-12,Project 024,project-024,000000000024,0.00,0.00,0.00,0.00,0.000040,0.00
2025-12,Project 023,project-023,000000000023,0.00,0.00,0.00,0.00,0.000026,0.00
2025-11,Project 001,project-001,000000000001,33462.94,0.00,-7764.69,-514.35,25183.900930,25183.90
2025-11,Project 002,project-002,000000000002,9194.94,0.00,-1808.51,-133.10,7253.332522,7253.33
2025-11,Project 003,project-003,000000000003,5835.11,0.00,-2107.30,-115.77,3612.041606,3612.04
2025-11,Project 004,project-004,000000000004,5278.31,0.00,-2063.84,-24.49,3189.975442,3189.98
2025-11,Project 005,project-005,000000000005,4833.20,0.00,-1527.64,-119.27,3186.289006,3186.29
2025-11,Project 006,project-006,000000000006,3348.15,0.00,-1211.80,-46.78,2089.574053,2089.57
2025-11,Project 007,project-007,000000000007,3042.61,0.00,-1035.90,-17.08,1989.631650,1989.63
2025-11,Project 008,project-008,000000000008,2412.61,0.00,-653.36,-55.57,1703.679717,1703.68
2025-11,Project 026,,000000000026,493.70,0.00,-181.91,-6.35,305.439103,305.44
2025-11,Project 025,,000000000025,413.84,0.00,-130.68,-10.47,272.694710,272.69
2025-11,Project 009,project-009,000000000009,300.26,0.00,-92.15,-8.58,199.521552,199.52
2025-11,Project 010,project-010,000000000010,183.13,0.00,0.00,0.00,183.133627,183.13
2025-11,Project 011,project-011,000000000011,155.69,0.00,0.00,0.00,155.690255,155.69
2025-11,Project 012,project-012,000000000012,27.40,0.00,0.00,0.00,27.401753,27.40
2025-11,Project 013,project-013,000000000013,5.15,0.00,0.00,0.00,5.154340,5.15
2025-11,Project 014,project-014,000000000014,3.12,0.00,0.00,0.00,3.123219,3.12
2025-11,Project 015,project-015,000000000015,0.61,0.00,0.00,0.00,0.607835,0.61
2025-11,Project 016,project-016,000000000016,0.23,0.00,0.00,0.00,0.233080,0.23
2025-11,Project 017,project-017,000000000017,0.16,0.00,0.00,0.00,0.156090,0.16
2025-11,Project 018,project-018,000000000018,0.11,0.00,0.00,0.00,0.108472,0.11
2025-11,Project 019,project-019,000000000019,0.03,0.00,0.00,0.00,0.025382,0.03
2025-11,Project 020,project-020,000000000020,0.02,0.00,0.00,0.00,0.020899,0.02
2025-11,Project 021,project-021,000000000021,0.01,0.00,0.00,0.00,0.012929,0.01
2025-11,Project 022,project-022,000000000022,0.01,0.00,0.00,0.00,0.005284,0.01
2025-11,Project 024,project-024,000000000024,0.00,0.00,0.00,0.00,0.001078,0.00
2025-11,Project 023,project-023,000000000023,0.00,0.00,0.00,0.00,0.000014,0.00
2025-10,Project 001,project-001,000000000001,32871.96,0.00,-7829.68,-534.39,24507.882229,24507.88
2025-10,Project 002,project-002,000000000002,9888.07,0.00,-2031.43,-161.26,7695.383713,7695.38
2025-10,Project 003,project-003,000000000003,6020.30,0.00,-2183.86,-126.62,3709.816088,3709.82
2025-10,Project 004,project-004,000000000004,5662.84,0.00,-2159.76,-26.07,3477.014773,3477.01
2025-10,Project 005,project-005,000000000005,5058.59,0.00,-1593.98,-131.19,3333.422028,3333.42
2025-10,Project 006,project-006,000000000006,3437.22,0.00,-1242.12,-51.69,2143.419076,2143.42
2025-10,Project 007,project-007,000000000007,3273.23,0.00,-1138.31,-18.88,2116.039220,2116.04
2025-10,Project 008,project-008,000000000008,2547.54,0.00,-697.21,-62.62,1787.715567,1787.72
2025-10,Project 026,,000000000026,535.54,0.00,-199.25,-6.88,329.413623,329.41
2025-10,Project 025,,000000000025,470.05,0.00,-155.07,-13.45,301.528148,301.53
2025-10,Project 009,project-009,000000000009,307.85,0.00,-93.51,-9.10,205.240354,205.24
2025-10,Project 010,project-010,000000000010,184.47,0.00,0.00,0.00,184.474293,184.47
2025-10,Project 011,project-011,000000000011,155.69,0.00,0.00,0.00,155.690134,155.69
2025-10,Project 012,project-012,000000000012,28.20,0.00,0.00,0.00,28.204541,28.20
2025-10,Project 013,project-013,000000000013,5.19,0.00,0.00,0.00,5.191028,5.19
2025-10,Project 014,project-014,000000000014,3.24,0.00,0.00,0.00,3.244701,3.24
2025-10,Project 015,project-015,000000000015,0.62,0.00,0.00,0.00,0.619814,0.62
2025-10,Project 016,project-016,000000000016,0.25,0.00,0.00,0.00,0.246704,0.25
2025-10,Project 018,project-018,000000000018,0.18,0.00,0.00,0.00,0.183510,0.18
2025-10,Project 017,project-017,000000000017,0.17,0.00,0.00,0.00,0.166824,0.17
2025-10,Project 019,project-019,000000000019,0.02,0.00,0.00,0.00,0.024504,0.02
2025-10,Project 020,project-020,000000000020,0.02,0.00,0.00,0.00,0.022550,0.02
2025-10,Project 024,project-024,000000000024,0.01,0.00,0.00,0.00,0.012750,0.01
2025-10,Project 021,project-021,000000000021,0.01,0.00,0.00,0.00,0.012603,0.01
2025-10,Project 022,project-022,000000000022,0.01,0.00,0.00,0.00,0.005643,0.01
2025-10,Project 023,project-023,000000000023,0.00,0.00,0.00,0.00,0.000014,0.00
2025-09,Project 001,project-001,000000000001,31625.07,0.00,-7432.42,-518.10,23674.554442,23674.55
2025-09,Project 002,project-002,000000000002,10059.35,0.00,-2060.83,-165.41,7833.115111,7833.12
2025-09,Project 004,project-004,000000000004,9301.18,0.00,-2078.44,-23.70,7199.043914,7199.04
2025-09,Project 003,project-003,000000000003,6069.19,0.00,-2155.30,-126.92,3786.974124,3786.97
2025-09,Project 005,project-005,000000000005,4928.01,0.00,-1509.03,-128.36,3290.618744,3290.62
2025-09,Project 006,project-006,000000000006,3283.28,0.00,-1138.32,-53.12,2091.840208,2091.84
2025-09,Project 007,project-007,000000000007,3085.52,0.00,-1011.59,-16.75,2057.184165,2057.18
2025-09,Project 008,project-008,000000000008,2524.95,0.00,-678.16,-62.10,1784.683411,1784.68
2025-09,Project 026,,000000000026,1004.56,0.00,-308.61,-8.47,687.481873,687.48
2025-09,Project 025,,000000000025,935.08,0.00,-250.07,-24.08,660.929101,660.93
2025-09,Project 009,project-009,000000000009,298.87,0.00,-90.09,-8.85,199.935436,199.94
2025-09,Project 010,project-010,000000000010,183.68,0.00,0.00,0.00,183.675353,183.68
2025-09,Project 011,project-011,000000000011,155.82,0.00,0.00,-0.00,155.822893,155.82
2025-09,Project 012,project-012,000000000012,26.42,0.00,0.00,0.00,26.417361,26.42
2025-09,Project 013,project-013,000000000013,5.19,0.00,0.00,0.00,5.194959,5.19
2025-09,Project 014,project-014,000000000014,3.12,0.00,0.00,0.00,3.119654,3.12
2025-09,Project 015,project-015,000000000015,0.61,0.00,0.00,0.00,0.612128,0.61
2025-09,Project 016,project-016,000000000016,0.24,0.00,0.00,0.00,0.235424,0.24
2025-09,Project 018,project-018,000000000018,0.20,0.00,0.00,0.00,0.202999,0.20
2025-09,Project 017,project-017,000000000017,0.16,0.00,0.00,0.00,0.155292,0.16
2025-09,Project 020,project-020,000000000020,0.02,0.00,0.00,0.00,0.021106,0.02
2025-09,Project 019,project-019,000000000019,0.02,0.00,0.00,0.00,0.020388,0.02
2025-09,Project 021,project-021,000000000021,0.01,0.00,0.00,0.00,0.012961,0.01
2025-09,Project 022,project-022,000000000022,0.01,0.00,0.00,0.00,0.005760,0.01
2025-09,Project 023,project-023,000000000023,0.00,0.00,0.00,0.00,0.000009,0.00
2025-08,Project 001,project-001,000000000001,34725.50,0.00,-8251.69,-731.57,25742.234543,25742.23
2025-08,Project 002,project-002,000000000002,9842.83,0.00,-1834.89,-160.25,7847.689957,7847.69
2025-08,Project 004,project-004,000000000004,8649.49,0.00,-2270.50,-27.69,6351.307401,6351.31
2025-08,Project 003,project-003,000000000003,6089.52,0.00,-2130.66,-136.88,3821.973491,3821.97
2025-08,Project 005,project-005,000000000005,4844.38,0.00,-1494.03,-146.27,3204.081546,3204.08
2025-08,Project 006,project-006,000000000006,3342.54,0.00,-1192.69,-51.29,2098.564314,2098.56
2025-08,Project 007,project-007,000000000007,3024.84,0.00,-993.23,-18.04,2013.572539,2013.57
2025-08,Project 008,project-008,000000000008,2514.23,0.00,-663.74,-66.79,1783.700613,1783.70
2025-08,Project 026,,000000000026,1043.57,0.00,-328.16,-9.38,706.027383,706.03
2025-08,Project 025,,000000000025,978.99,0.00,-255.41,-25.77,697.812137,697.81
2025-08,Project 009,project-009,000000000009,302.69,0.00,-85.10,-9.83,207.762654,207.76
2025-08,Project 010,project-010,000000000010,185.07,0.00,0.00,0.00,185.067109,185.07
2025-08,Project 011,project-011,000000000011,155.86,0.00,0.00,0.00,155.857602,155.86
2025-08,Project 012,project-012,000000000012,27.01,0.00,0.00,0.00,27.012810,27.01
2025-08,Project 013,project-013,000000000013,5.22,0.00,0.00,0.00,5.218475,5.22
2025-08,Project 014,project-014,000000000014,3.22,0.00,0.00,0.00,3.224824,3.22
2025-08,Project 015,project-015,000000000015,0.71,0.00,0.00,0.00,0.713499,0.71
2025-08,Project 016,project-016,000000000016,0.25,0.00,0.00,0.00,0.246028,0.25
2025-08,Project 017,project-017,000000000017,0.16,0.00,0.00,0.00,0.156253,0.16
2025-08,Project 018,project-018,000000000018,0.08,0.00,0.00,0.00,0.078169,0.08
2025-08,Project 019,project-019,000000000019,0.03,0.00,0.00,0.00,0.025249,0.03
2025-08,Project 020,project-020,000000000020,0.02,0.00,0.00,0.00,0.021661,0.02
2025-08,Project 021,project-021,000000000021,0.01,0.00,0.00,0.00,0.012414,0.01
2025-08,Project 022,project-022,000000000022,0.00,0.00,0.00,0.00,0.004533,0.00
2025-08,Project 024,project-024,000000000024,0.00,0.00,0.00,0.00,0.001122,0.00
2025-08,Project 023,project-023,000000000023,0.00,0.00,0.00,0.00,0.000006,0.00
2025-07,Project 001,project-001,000000000001,33693.11,0.00,-7895.22,-649.62,25148.271813,25148.27
2025-07,Project 002,project-002,000000000002,9932.58,0.00,-1925.95,-173.24,7833.389644,7833.39
2025-07,Project 003,project-003,000000000003,6179.26,0.00,-2214.65,-141.40,3823.212947,3823.21
2025-07,Project 004,project-004,000000000004,5202.43,0.00,-2139.65,-26.39,3036.396662,3036.40
2025-07,Project 005,project-005,000000000005,4685.00,0.00,-1512.14,-145.79,3027.069987,3027.07
2025-07,Project 006,project-006,000000000006,3552.79,0.00,-1258.17,-58.68,2235.944884,2235.94
2025-07,Project 007,project-007,000000000007,3186.22,0.00,-1065.58,-19.43,2101.209938,2101.21
2025-07,Project 008,project-008,000000000008,2668.41,0.00,-715.16,-72.93,1880.322985,1880.32
2025-07,Project 026,,000000000026,1248.95,0.00,-413.90,-10.29,824.758966,824.76
2025-07,Project 025,,000000000025,1184.98,0.00,-344.44,-32.94,807.609811,807.61
2025-07,Project 009,project-009,000000000009,304.21,0.00,-87.62,-9.93,206.650084,206.65
2025-07,Project 010,project-010,000000000010,185.39,0.00,0.00,0.00,185.390263,185.39
2025-07,Project 011,project-011,000000000011,155.73,0.00,0.00,0.00,155.732657,155.73
2025-07,Project 012,project-012,000000000012,27.43,0.00,0.00,0.00,27.425012,27.43
2025-07,Project 013,project-013,000000000013,5.21,0.00,0.00,0.00,5.211941,5.21
2025-07,Project 014,project-014,000000000014,3.24,0.00,0.00,0.00,3.241868,3.24
2025-07,Project 015,project-015,000000000015,0.71,0.00,0.00,0.00,0.713392,0.71
2025-07,Project 016,project-016,000000000016,0.26,0.00,0.00,0.00,0.262166,0.26
2025-07,Project 017,project-017,000000000017,0.16,0.00,0.00,0.00,0.161326,0.16
2025-07,Project 018,project-018,000000000018,0.08,0.00,0.00,0.00,0.081166,0.08
2025-07,Project 019,project-019,000000000019,0.03,0.00,0.00,0.00,0.027459,0.03
2025-07,Project 020,project-020,000000000020,0.02,0.00,0.00,0.00,0.022562,0.02
2025-07,Project 021,project-021,000000000021,0.01,0.00,0.00,0.00,0.012427,0.01
2025-07,Project 022,project-022,000000000022,0.01,0.00,0.00,0.00,0.006374,0.01
2025-07,Project 024,project-024,000000000024,0.00,0.00,0.00,0.00,0.001878,0.00
2025-07,Project 027,,,-2.50,0.00,0.00,0.00,-2.500042,-2.50
2025-06,Project 001,project-001,000000000001,33230.63,0.00,-8650.19,-599.60,23980.847641,23980.85
2025-06,Project 002,project-002,000000000002,9623.60,0.00,-1986.39,-151.57,7485.637863,7485.64
2025-06,Project 003,project-003,000000000003,5807.77,0.00,-2090.50,-121.86,3595.409041,3595.41
2025-06,Project 004,project-004,000000000004,4991.79,0.00,-2063.91,-24.13,2903.748900,2903.75
2025-06,Project 005,project-005,000000000005,4400.89,0.00,-1449.79,-124.50,2826.587553,2826.59
2025-06,Project 006,project-006,000000000006,3421.15,0.00,-1227.10,-54.34,2139.713829,2139.71
2025-06,Project 007,project-007,000000000007,3023.67,0.00,-995.99,-17.30,2010.384298,2010.38
2025-06,Project 008,project-008,000000000008,2564.89,0.00,-717.67,-62.95,1784.266264,1784.27
2025-06,Project 026,,000000000026,1061.26,0.00,-330.58,-9.11,721.568767,721.57
2025-06,Project 025,,000000000025,1003.33,0.00,-290.92,-27.15,685.258115,685.26
2025-06,Project 009,project-009,000000000009,306.20,0.00,-100.33,-8.99,196.876618,196.88
2025-06,Project 010,project-010,000000000010,182.93,0.00,0.00,0.00,182.925308,182.93
2025-06,Project 011,project-011,000000000011,155.48,0.00,0.00,0.00,155.480031,155.48
2025-06,Project 012,project-012,000000000012,25.47,0.00,0.00,0.00,25.474870,25.47
2025-06,Project 013,project-013,000000000013,5.15,0.00,0.00,0.00,5.147660,5.15
2025-06,Project 014,project-014,000000000014,3.14,0.00,0.00,0.00,3.138242,3.14
2025-06,Project 015,project-015,000000000015,0.70,0.00,0.00,0.00,0.698175,0.70
2025-06,Project 016,project-016,000000000016,0.24,0.00,0.00,0.00,0.238239,0.24
2025-06,Project 017,project-017,000000000017,0.16,0.00,0.00,0.00,0.155785,0.16
2025-06,Project 018,project-018,000000000018,0.09,0.00,0.00,0.00,0.085898,0.09
2025-06,Project 020,project-020,000000000020,0.02,0.00,0.00,0.00,0.021629,0.02
2025-06,Project 019,project-019,000000000019,0.02,0.00,0.00,0.00,0.020800,0.02
2025-06,Project 021,project-021,000000000021,0.01,0.00,0.00,0.00,0.011814,0.01
2025-06,Project 022,project-022,000000000022,0.01,0.00,0.00,0.00,0.006253,0.01
2025-06,Project 024,project-024,000000000024,0.00,0.00,0.00,0.00,0.000759,0.00
2025-06,Project 023,project-023,000000000023,0.00,0.00,0.00,0.00,0.000001,0.00
2025-06,Project 027,,,0.00,0.00,0.00,0.00,0.000000,0.00
2025-05,Project 001,project-001,000000000001,34515.24,0.00,-9089.14,-699.32,24726.792107,24726.79
2025-05,Project 002,project-002,000000000002,10352.12,0.00,-2090.36,-180.12,8081.645105,8081.65
2025-05,Project 003,project-003,000000000003,6117.09,0.00,-2203.44,-143.61,3770.037369,3770.04
2025-05,Project 004,project-004,000000000004,5143.60,0.00,-2110.46,-24.86,3008.284441,3008.28
2025-05,Project 005,project-005,000000000005,4619.52,0.00,-1502.46,-144.71,2972.355286,2972.36
2025-05,Project 006,project-006,000000000006,3417.88,0.00,-1245.33,-55.06,2117.487072,2117.49
2025-05,Project 007,project-007,000000000007,3051.89,0.00,-1037.04,-17.69,1997.151741,1997.15
2025-05,Project 008,project-008,000000000008,2621.96,0.00,-730.87,-71.15,1819.941185,1819.94
2025-05,Project 026,,000000000026,1135.05,0.00,-359.37,-9.55,766.127000,766.13
2025-05,Project 025,,000000000025,1075.28,0.00,-307.77,-29.92,737.592977,737.59
2025-05,Project 009,project-009,000000000009,315.23,0.00,-102.27,-10.43,202.523610,202.52
2025-05,Project 010,project-010,000000000010,184.45,0.00,0.00,0.00,184.453227,184.45
2025-05,Project 011,project-011,000000000011,155.69,0.00,0.00,0.00,155.690134,155.69
2025-05,Project 012,project-012,000000000012,26.35,0.00,0.00,0.00,26.348210,26.35
2025-05,Project 013,project-013,000000000013,5.19,0.00,0.00,0.00,5.190733,5.19
2025-05,Project 014,project-014,000000000014,3.20,0.00,0.00,0.00,3.200436,3.20
2025-05,Project 015,project-015,000000000015,0.69,0.00,0.00,0.00,0.686564,0.69
2025-05,Project 016,project-016,000000000016,0.24,0.00,0.00,0.00,0.240689,0.24
2025-05,Project 017,project-017,000000000017,0.15,0.00,0.00,0.00,0.150781,0.15
2025-05,Project 018,project-018,000000000018,0.10,0.00,0.00,0.00,0.103959,0.10
2025-05,Project 020,project-020,000000000020,0.02,0.00,0.00,0.00,0.021180,0.02
2025-05,Project 019,project-019,000000000019,0.02,0.00,0.00,0.00,0.020671,0.02
2025-05,Project 021,project-021,000000000021,0.01,0.00,0.00,0.00,0.010522,0.01
2025-05,Project 022,project-022,000000000022,0.01,0.00,0.00,0.00,0.005379,0.01
2025-05,Project 024,project-024,000000000024,0.00,0.00,0.00,0.00,0.000765,0.00
2025-05,Project 023,project-023,000000000023,0.00,0.00,0.00,0.00,0.000001,0.00
2025-05,Project 027,,,-0.00,0.00,0.00,0.00,-0.000197,-0.00
2025-04,Project 001,project-001,000000000001,32054.65,0.00,-8385.51,-3030.36,20638.775733,20638.78
2025-04,Project 002,project-002,000000000002,10911.83,0.00,-2251.45,-319.41,8340.964063,8340.96
2025-04,Project 003,project-003,000000000003,5835.33,0.00,-2147.35,-199.87,3488.111753,3488.11
2025-04,Project 005,project-005,000000000005,4695.24,0.00,-1550.36,-212.11,2932.769931,2932.77
2025-04,Project 004,project-004,000000000004,4968.19,0.00,-2028.91,-105.82,2833.468082,2833.47
2025-04,Project 007,project-007,000000000007,3162.81,0.00,-1060.22,-29.01,2073.581504,2073.58
2025-04,Project 006,project-006,000000000006,3317.73,0.00,-1217.52,-56.09,2044.115517,2044.12
2025-04,Project 008,project-008,000000000008,2685.87,0.00,-762.05,-146.23,1777.585759,1777.59
2025-04,Project 026,,000000000026,1168.73,0.00,-381.64,-90.57,696.515335,696.52
2025-04,Project 025,,000000000025,1102.75,0.00,-325.35,-97.13,680.277514,680.28
2025-04,Project 010,project-010,000000000010,184.21,0.00,0.00,0.00,184.205389,184.21
2025-04,Project 009,project-009,000000000009,308.51,0.00,-101.39,-43.35,163.778625,163.78
2025-04,Project 011,project-011,000000000011,155.69,0.00,0.00,0.00,155.690233,155.69
2025-04,Project 012,project-012,000000000012,25.39,0.00,0.00,0.00,25.385257,25.39
2025-04,Project 013,project-013,000000000013,5.19,0.00,0.00,0.00,5.185050,5.19
2025-04,Project 014,project-014,000000000014,3.16,0.00,0.00,0.00,3.163985,3.16
2025-04,Project 015,project-015,000000000015,0.69,0.00,0.00,0.00,0.694133,0.69
2025-04,Project 018,project-018,000000000018,0.64,0.00,0.00,0.00,0.642098,0.64
2025-04,Project 016,project-016,000000000016,0.24,0.00,0.00,0.00,0.243497,0.24
2025-04,Project 017,project-017,000000000017,0.16,0.00,0.00,0.00,0.160634,0.16
2025-04,Project 020,project-020,000000000020,0.02,0.00,0.00,0.00,0.022348,0.02
2025-04,Project 019,project-019,000000000019,0.02,0.00,0.00,0.00,0.020305,0.02
2025-04,Project 021,project-021,000000000021,0.01,0.00,0.00,0.00,0.010458,0.01
2025-04,Project 024,project-024,000000000024,0.01,0.00,0.00,0.00,0.006038,0.01
2025-04,Project 022,project-022,000000000022,0.01,0.00,0.00,0.00,0.005980,0.01
2025-04,Project 023,project-023,000000000023,0.00,0.00,0.00,0.00,0.000000,0.00
2025-04,Project 027,,,-3.56,0.00,0.00,0.00,-3.558311,-3.56
2025-03,Project 001,project-001,000000000001,32952.56,0.00,-8500.64,-3076.37,21375.553416,21375.55
2025-03,Project 002,project-002,000000000002,11258.87,0.00,-2748.87,-354.14,8155.855881,8155.86
2025-03,Project 003,project-003,000000000003,5759.52,0.00,-2082.76,-203.38,3473.380906,3473.38
2025-03,Project 004,project-004,000000000004,5056.46,0.00,-2069.13,-106.93,2880.405176,2880.41
2025-03,Project 005,project-005,000000000005,4513.35,0.00,-1473.99,-207.14,2832.221739,2832.22
2025-03,Project 006,project-006,000000000006,3443.44,0.00,-1260.89,-60.70,2121.849421,2121.85
2025-03,Project 007,project-007,000000000007,3191.91,0.00,-1055.94,-28.29,2107.684086,2107.68
2025-03,Project 008,project-008,000000000008,2824.50,0.00,-818.21,-153.51,1852.784534,1852.78
2025-03,Project 026,,000000000026,1057.54,0.00,-322.43,-92.35,642.759045,642.76
2025-03,Project 025,,000000000025,993.35,0.00,-268.74,-97.08,627.523464,627.52
2025-03,Project 011,project-011,000000000011,260.48,0.00,0.00,-0.26,260.228699,260.23
2025-03,Project 010,project-010,000000000010,183.79,0.00,0.00,0.00,183.790649,183.79
2025-03,Project 009,project-009,000000000009,315.02,0.00,-103.27,-44.41,167.344226,167.34
2025-03,Project 012,project-012,000000000012,25.73,0.00,0.00,0.00,25.728658,25.73
2025-03,Project 013,project-013,000000000013,5.18,0.00,0.00,0.00,5.181912,5.18
2025-03,Project 014,project-014,000000000014,3.22,0.00,0.00,0.00,3.221282,3.22
