Month,Service description,Service ID,List cost ($),Negotiated savings ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($)
2025-11,Cloud Run Functions,29E7-DA93-CA13,15.81,0.00,0.00,-2.26,13.544029,13.54
2025-11,Cloud Key Management Service (KMS),EE2F-D110-890C,12.74,0.00,0.00,0.00,12.737936,12.74
2025-11,App Engine,F17B-412E-CB64,11.95,0.00,0.00,0.00,11.953699,11.95
2025-11,Container Registry Vulnerability Scanning,82AF-DE7A-51D0,7.54,0.00,0.00,0.00,7.540000,7.54
2025-11,Cloud Scheduler,1F14-4801-0E16,0.38,0.00,0.00,0.00,0.375263,0.38
2025-10,Compute Engine,6F81-5844-456A,46522.29,0.00,-19324.19,-856.34,26341.759029,26341.76
2025-10,Cloud SQL,9662-B51E-5089,7500.91,0.00,0.00,0.00,7500.906829,7500.91
2025-10,Cloud Storage,95FF-2EF5-5EA1,7337.59,0.00,0.00,0.00,7337.590882,7337.59
2025-10,Networking,E505-1604-58F8,3422.59,0.00,0.00,-258.83,3163.762946,3163.76
2025-10,BigQuery,24E6-581D-38E5,2143.01,0.00,0.00,0.00,2143.007116,2143.01
2025-10,Cloud Memorystore for Redis,5AF5-2C11-D467,1516.02,0.00,0.00,0.00,1516.022391,1516.02
2025-10,Cloud Logging,5490-F7B7-8DF6,463.25,0.00,0.00,0.00,463.253243,463.25
2025-10,Cloud Monitoring,58CD-E7C3-72CA,341.82,0.00,0.00,0.00,341.824329,341.82
2025-10,Artifact Registry,149C-F9EC-3994,328.25,0.00,0.00,0.00,328.246829,328.25
2025-10,Kubernetes Engine,CCD8-9BF1-090E,297.75,0.00,0.00,-24.80,272.950511,272.95
2025-10,BigQuery Storage API,DCC9-8DB9-673F,243.07,0.00,0.00,0.00,243.071165,243.07
2025-10,VM Manager,5E18-9A83-2867,148.40,0.00,0.00,0.00,148.401000,148.40
2025-10,Cloud DNS,FA26-5236-B8B5,59.04,0.00,0.00,0.00,59.043672,59.04
2025-10,Secret Manager,EE82-7A5E-871C,41.12,0.00,0.00,0.00,41.115875,41.12
2025-10,Cloud Pub/Sub,A1E8-BE35-7EBC,30.84,0.00,0.00,0.00,30.842433,30.84
2025-10,Cloud Run Functions,29E7-DA93-CA13,15.96,0.00,0.00,-2.16,13.799189,13.80
2025-10,Cloud Key Management Service (KMS),EE2F-D110-890C,12.19,0.00,0.00,0.00,12.190037,12.19
2025-10,App Engine,F17B-412E-CB64,11.84,0.00,0.00,0.00,11.838628,11.84
2025-10,Container Registry Vulnerability Scanning,82AF-DE7A-51D0,9.01,0.00,0.00,0.00,9.013333,9.01
2025-10,Vertex AI,C7E2-9256-1C43,6.00,0.00,0.00,0.00,6.001667,6.00
2025-10,Cloud Scheduler,1F14-4801-0E16,0.33,0.00,0.00,0.00,0.333329,0.33
2025-09,Compute Engine,6F81-5844-456A,45887.58,0.00,-18712.84,-851.65,26323.085430,26323.09
2025-09,Cloud Storage,95FF-2EF5-5EA1,10804.22,0.00,0.00,0.00,10804.223453,10804.22
2025-09,Cloud SQL,9662-B51E-5089,7504.25,0.00,0.00,0.00,7504.254425,7504.25
2025-09,Networking,E505-1604-58F8,3425.43,0.00,0.00,-257.33,3168.099115,3168.10
2025-09,BigQuery,24E6-581D-38E5,2079.55,0.00,0.00,0.00,2079.551111,2079.55
2025-09,Cloud Memorystore for Redis,5AF5-2C11-D467,1467.12,0.00,0.00,0.00,1467.118115,1467.12
2025-09,Cloud Monitoring,58CD-E7C3-72CA,676.99,0.00,0.00,0.00,676.989600,676.99
2025-09,Cloud Logging,5490-F7B7-8DF6,485.57,0.00,0.00,0.00,485.572119,485.57
2025-09,Artifact Registry,149C-F9EC-3994,326.97,0.00,0.00,0.00,326.970819,326.97
2025-09,Kubernetes Engine,CCD8-9BF1-090E,288.10,0.00,0.00,-24.80,263.303481,263.30
2025-09,BigQuery Storage API,DCC9-8DB9-673F,233.55,0.00,0.00,0.00,233.550930,233.55
2025-09,VM Manager,5E18-9A83-2867,147.40,0.00,0.00,0.00,147.402000,147.40
2025-09,Cloud DNS,FA26-5236-B8B5,54.41,0.00,0.00,0.00,54.411244,54.41
2025-09,Secret Manager,EE82-7A5E-871C,39.68,0.00,0.00,0.00,39.682497,39.68
2025-09,Cloud Pub/Sub,A1E8-BE35-7EBC,30.39,0.00,0.00,0.00,30.386584,30.39
2025-09,App Engine,F17B-412E-CB64,11.92,0.00,0.00,0.00,11.915097,11.92
2025-09,Cloud Key Management Service (KMS),EE2F-D110-890C,11.64,0.00,0.00,0.00,11.643676,11.64
2025-09,Cloud Run Functions,29E7-DA93-CA13,11.42,0.00,0.00,-2.09,9.329121,9.33
2025-09,Container Registry Vulnerability Scanning,82AF-DE7A-51D0,3.99,0.00,0.00,0.00,3.986667,3.99
2025-09,Cloud Scheduler,1F14-4801-0E16,0.32,0.00,0.00,0.00,0.319351,0.32
2025-09,Vertex AI,C7E2-9256-1C43,0.06,0.00,0.00,0.00,0.061981,0.06
2025-08,Compute Engine,6F81-5844-456A,48695.46,0.00,-19500.10,-1091.15,28104.203686,28104.20
2025-08,Cloud Storage,95FF-2EF5-5EA1,10423.19,0.00,0.00,0.00,10423.190183,10423.19
2025-08,Cloud SQL,9662-B51E-5089,7415.45,0.00,0.00,0.00,7415.453397,7415.45
2025-08,Networking,E505-1604-58F8,3494.37,0.00,0.00,-265.73,3228.631458,3228.63
2025-08,BigQuery,24E6-581D-38E5,1859.47,0.00,0.00,0.00,1859.468393,1859.47
2025-08,Cloud Memorystore for Redis,5AF5-2C11-D467,1517.65,0.00,0.00,0.00,1517.654621,1517.65
2025-08,Cloud Monitoring,58CD-E7C3-72CA,709.36,0.00,0.00,0.00,709.364911,709.36
2025-08,Cloud Logging,5490-F7B7-8DF6,427.31,0.00,0.00,0.00,427.313011,427.31
2025-08,Artifact Registry,149C-F9EC-3994,326.01,0.00,0.00,0.00,326.005020,326.01
2025-08,Kubernetes Engine,CCD8-9BF1-090E,298.46,0.00,0.00,-24.80,273.659740,273.66
2025-08,BigQuery Storage API,DCC9-8DB9-673F,237.99,0.00,0.00,0.00,237.986878,237.99
2025-08,VM Manager,5E18-9A83-2867,158.78,0.00,0.00,0.00,158.778000,158.78
2025-08,Cloud DNS,FA26-5236-B8B5,63.56,0.00,0.00,0.00,63.562316,63.56
2025-08,Secret Manager,EE82-7A5E-871C,36.66,0.00,0.00,0.00,36.658059,36.66
2025-08,Cloud Pub/Sub,A1E8-BE35-7EBC,34.88,0.00,0.00,0.00,34.876973,34.88
2025-08,App Engine,F17B-412E-CB64,11.64,0.00,0.00,0.00,11.640529,11.64
2025-08,Cloud Key Management Service (KMS),EE2F-D110-890C,11.11,0.00,0.00,0.00,11.108153,11.11
2025-08,Cloud Run Functions,29E7-DA93-CA13,11.79,0.00,0.00,-2.08,9.711694,9.71
2025-08,Container Registry Vulnerability Scanning,82AF-DE7A-51D0,2.69,0.00,0.00,0.00,2.686667,2.69
2025-08,Cloud Scheduler,1F14-4801-0E16,0.33,0.00,0.00,0.00,0.333329,0.33
2025-08,Vertex AI,C7E2-9256-1C43,0.08,0.00,0.00,0.00,0.079317,0.08
2025-07,Compute Engine,6F81-5844-456A,48193.18,0.00,-19569.15,-1042.99,27581.043438,27581.04
2025-07,Cloud SQL,9662-B51E-5089,7173.73,0.00,-3.33,0.00,7170.396432,7170.40
2025-07,Cloud Storage,95FF-2EF5-5EA1,6972.85,0.00,0.00,0.00,6972.849617,6972.85
2025-07,Networking,E505-1604-58F8,3787.56,0.00,0.00,-270.87,3516.691373,3516.69
2025-07,BigQuery,24E6-581D-38E5,2126.94,0.00,0.00,0.00,2126.940082,2126.94
2025-07,Cloud Memorystore for Redis,5AF5-2C11-D467,1506.28,0.00,0.00,0.00,1506.280130,1506.28
2025-07,Cloud Monitoring,58CD-E7C3-72CA,710.48,0.00,0.00,0.00,710.483263,710.48
2025-07,Cloud Logging,5490-F7B7-8DF6,542.80,0.00,0.00,0.00,542.802849,542.80
2025-07,Artifact Registry,149C-F9EC-3994,324.39,0.00,0.00,0.00,324.392273,324.39
2025-07,Kubernetes Engine,CCD8-9BF1-090E,296.79,0.00,0.00,-24.80,271.989442,271.99
2025-07,BigQuery Storage API,DCC9-8DB9-673F,228.15,0.00,0.00,0.00,228.146512,228.15
2025-07,VM Manager,5E18-9A83-2867,162.81,0.00,0.00,0.00,162.815000,162.81
2025-07,Cloud DNS,FA26-5236-B8B5,62.15,0.00,0.00,0.00,62.152675,62.15
2025-07,Secret Manager,EE82-7A5E-871C,37.76,0.00,0.00,0.00,37.763015,37.76
2025-07,Cloud Pub/Sub,A1E8-BE35-7EBC,32.55,0.00,0.00,0.00,32.552246,32.55
2025-07,Vertex AI,C7E2-9256-1C43,20.38,0.00,0.00,0.00,20.376284,20.38
2025-07,App Engine,F17B-412E-CB64,11.87,0.00,0.00,0.00,11.873033,11.87
2025-07,Cloud Key Management Service (KMS),EE2F-D110-890C,10.55,0.00,0.00,0.00,10.545037,10.55
2025-07,Container Registry Vulnerability Scanning,82AF-DE7A-51D0,6.41,0.00,0.00,0.00,6.413333,6.41
2025-07,Cloud Run Functions,29E7-DA93-CA13,5.82,0.00,0.00,-1.98,3.838270,3.84
2025-07,Cloud Scheduler,1F14-4801-0E16,0.28,0.00,0.00,0.00,0.283865,0.28
2025-06,Compute Engine,6F81-5844-456A,45976.21,0.00,-18703.37,-920.08,26352.750894,26352.75
2025-06,Cloud Storage,95FF-2EF5-5EA1,6742.00,0.00,0.00,0.00,6741.995776,6742.00
2025-06,Cloud SQL,9662-B51E-5089,7658.21,0.00,-1200.00,0.00,6458.214329,6458.21
2025-06,Networking,E505-1604-58F8,3641.78,0.00,0.00,-255.11,3386.668736,3386.67
2025-06,BigQuery,24E6-581D-38E5,2027.38,0.00,0.00,0.00,2027.380254,2027.38
2025-06,Cloud Memorystore for Redis,5AF5-2C11-D467,1452.91,0.00,0.00,0.00,1452.909340,1452.91
2025-06,Cloud Monitoring,58CD-E7C3-72CA,688.29,0.00,0.00,0.00,688.286960,688.29
2025-06,Cloud Logging,5490-F7B7-8DF6,489.20,0.00,0.00,0.00,489.198735,489.20
2025-06,Artifact Registry,149C-F9EC-3994,322.82,0.00,0.00,0.00,322.815448,322.82
2025-06,Kubernetes Engine,CCD8-9BF1-090E,287.61,0.00,0.00,-24.80,262.808635,262.81
2025-06,BigQuery Storage API,DCC9-8DB9-673F,221.55,0.00,0.00,0.00,221.548447,221.55
2025-06,VM Manager,5E18-9A83-2867,148.23,0.00,0.00,0.00,148.225000,148.23
2025-06,Cloud DNS,FA26-5236-B8B5,59.06,0.00,0.00,0.00,59.062506,59.06
2025-06,Secret Manager,EE82-7A5E-871C,35.17,0.00,0.00,0.00,35.174679,35.17
2025-06,Cloud Pub/Sub,A1E8-BE35-7EBC,25.59,0.00,0.00,0.00,25.586158,25.59
2025-06,App Engine,F17B-412E-CB64,11.73,0.00,0.00,0.00,11.733941,11.73
2025-06,Cloud Key Management Service (KMS),EE2F-D110-890C,9.98,0.00,0.00,0.00,9.979140,9.98
2025-06,Container Registry Vulnerability Scanning,82AF-DE7A-51D0,7.97,0.00,0.00,0.00,7.973333,7.97
2025-06,Cloud Run Functions,29E7-DA93-CA13,2.56,0.00,0.00,-1.51,1.049388,1.05
2025-06,Cloud Scheduler,1F14-4801-0E16,0.26,0.00,0.00,0.00,0.256983,0.26
2025-06,Vertex AI,C7E2-9256-1C43,0.09,0.00,0.00,0.00,0.085670,0.09
2025-05,Compute Engine,6F81-5844-456A,48092.03,0.00,-19538.51,-1086.96,27466.562576,27466.56
2025-05,Cloud Storage,95FF-2EF5-5EA1,6751.55,0.00,0.00,0.00,6751.549363,6751.55
2025-05,Cloud SQL,9662-B51E-5089,7886.08,0.00,-1240.00,-8.70,6637.377914,6637.38
2025-05,Networking,E505-1604-58F8,3940.91,0.00,0.00,-264.43,3676.481367,3676.48
2025-05,BigQuery,24E6-581D-38E5,2069.20,0.00,0.00,0.00,2069.202828,2069.20
2025-05,Cloud Memorystore for Redis,5AF5-2C11-D467,1503.37,0.00,0.00,0.00,1503.373854,1503.37
2025-05,Cloud Monitoring,58CD-E7C3-72CA,701.24,0.00,0.00,0.00,701.238122,701.24
2025-05,Cloud Logging,5490-F7B7-8DF6,637.13,0.00,0.00,0.00,637.132462,637.13
2025-05,Artifact Registry,149C-F9EC-3994,321.96,0.00,0.00,0.00,321.960069,321.96
2025-05,Kubernetes Engine,CCD8-9BF1-090E,297.60,0.00,0.00,-24.80,272.798125,272.80
2025-05,BigQuery Storage API,DCC9-8DB9-673F,224.58,0.00,0.00,0.00,224.576638,224.58
2025-05,VM Manager,5E18-9A83-2867,159.24,0.00,0.00,0.00,159.240000,159.24
2025-05,Cloud DNS,FA26-5236-B8B5,59.26,0.00,0.00,0.00,59.261389,59.26
2025-05,Secret Manager,EE82-7A5E-871C,36.31,0.00,0.00,0.00,36.313717,36.31
2025-05,Cloud Pub/Sub,A1E8-BE35-7EBC,26.47,0.00,0.00,0.00,26.467266,26.47
2025-05,App Engine,F17B-412E-CB64,12.10,0.00,0.00,0.00,12.102566,12.10
2025-05,Cloud Key Management Service (KMS),EE2F-D110-890C,9.45,0.00,0.00,0.00,9.445611,9.45
2025-05,Container Registry Vulnerability Scanning,82AF-DE7A-51D0,5.72,0.00,0.00,0.00,5.720000,5.72
2025-05,Vertex AI,C7E2-9256-1C43,3.84,0.00,0.00,0.00,3.843028,3.84
2025-05,Cloud Run Functions,29E7-DA93-CA13,2.68,0.00,0.00,-1.53,1.147394,1.15
2025-05,Cloud Scheduler,1F14-4801-0E16,0.27,0.00,0.00,0.00,0.266660,0.27
2025-04,Compute Engine,6F81-5844-456A,46784.36,0.00,-19005.33,-976.20,26802.833612,26802.83
2025-04,Cloud Storage,95FF-2EF5-5EA1,6765.94,0.00,0.00,0.00,6765.936782,6765.94
2025-04,Networking,E505-1604-58F8,3701.46,0.00,0.00,-261.20,3440.268174,3440.27
2025-04,Cloud SQL,9662-B51E-5089,7671.83,0.00,-1206.41,-3066.31,3399.115887,3399.12
2025-04,BigQuery,24E6-581D-38E5,2091.37,0.00,0.00,0.00,2091.369628,2091.37
2025-04,Cloud Memorystore for Redis,5AF5-2C11-D467,1454.88,0.00,0.00,0.00,1454.878149,1454.88
2025-04,Cloud Monitoring,58CD-E7C3-72CA,668.51,0.00,0.00,0.00,668.511571,668.51
2025-04,Artifact Registry,149C-F9EC-3994,320.15,0.00,0.00,0.00,320.149444,320.15
2025-04,Cloud Logging,5490-F7B7-8DF6,315.90,0.00,0.00,0.00,315.895756,315.90
2025-04,Kubernetes Engine,CCD8-9BF1-090E,288.91,0.00,0.00,-24.80,264.105291,264.11
2025-04,BigQuery Storage API,DCC9-8DB9-673F,210.84,0.00,0.00,0.00,210.836123,210.84
2025-04,VM Manager,5E18-9A83-2867,153.61,0.00,0.00,0.00,153.611000,153.61
2025-04,Cloud DNS,FA26-5236-B8B5,58.70,0.00,0.00,0.00,58.701383,58.70
2025-04,Secret Manager,EE82-7A5E-871C,34.78,0.00,0.00,0.00,34.784952,34.78
2025-04,Cloud Pub/Sub,A1E8-BE35-7EBC,26.05,0.00,0.00,0.00,26.048038,26.05
2025-04,App Engine,F17B-412E-CB64,12.08,0.00,0.00,0.00,12.079971,12.08
2025-04,Cloud Key Management Service (KMS),EE2F-D110-890C,8.90,0.00,0.00,0.00,8.898001,8.90
2025-04,Vertex AI,C7E2-9256-1C43,7.29,0.00,0.00,0.00,7.290757,7.29
2025-04,Container Registry Vulnerability Scanning,82AF-DE7A-51D0,5.20,0.00,0.00,0.00,5.200000,5.20
2025-04,Cloud Run Functions,29E7-DA93-CA13,2.51,0.00,0.00,-1.45,1.051561,1.05
2025-04,Cloud Scheduler,1F14-4801-0E16,0.25,0.00,0.00,0.00,0.254832,0.25
2025-03,Compute Engine,6F81-5844-456A,47869.00,0.00,-19471.28,-1028.25,27369.464736,27369.46
2025-03,Cloud Storage,95FF-2EF5-5EA1,6517.93,0.00,0.00,0.00,6517.933932,6517.93
2025-03,Networking,E505-1604-58F8,3741.36,0.00,0.00,-265.76,3475.603177,3475.60
2025-03,Cloud SQL,9662-B51E-5089,7792.72,0.00,-1233.59,-3104.26,3454.877846,3454.88
2025-03,BigQuery,24E6-581D-38E5,2302.52,0.00,0.00,0.00,2302.522549,2302.52
2025-03,Cloud Memorystore for Redis,5AF5-2C11-D467,1501.35,0.00,0.00,0.00,1501.353381,1501.35
2025-03,Cloud Monitoring,58CD-E7C3-72CA,681.40,0.00,0.00,0.00,681.403863,681.40
2025-03,Artifact Registry,149C-F9EC-3994,318.41,0.00,0.00,0.00,318.412220,318.41
2025-03,Cloud Logging,5490-F7B7-8DF6,313.26,0.00,0.00,0.00,313.259508,313.26
2025-03,Kubernetes Engine,CCD8-9BF1-090E,296.96,0.00,0.00,-24.80,272.164933,272.16
2025-03,BigQuery Storage API,DCC9-8DB9-673F,212.59,0.00,0.00,0.00,212.586950,212.59
2025-03,VM Manager,5E18-9A83-2867,155.69,0.00,0.00,0.00,155.689000,155.69
2025-03,Cloud DNS,FA26-5236-B8B5,57.47,0.00,0.00,0.00,57.471431,57.47
2025-03,Secret Manager,EE82-7A5E-871C,35.24,0.00,0.00,0.00,35.237050,35.24
2025-03,Cloud Pub/Sub,A1E8-BE35-7EBC,26.95,0.00,0.00,0.00,26.954045,26.95
2025-03,App Engine,F17B-412E-CB64,12.18,0.00,0.00,0.00,12.175471,12.18
2025-03,Cloud Key Management Service (KMS),EE2F-D110-890C,8.34,0.00,0.00,0.00,8.341101,8.34
2025-03,Container Registry Vulnerability Scanning,82AF-DE7A-51D0,3.64,0.00,0.00,0.00,3.640000,3.64
2025-03,Cloud Run Functions,29E7-DA93-CA13,2.57,0.00,0.00,-1.48,1.091961,1.09
2025-03,Cloud Scheduler,1F14-4801-0E16,0.27,0.00,0.00,0.00,0.266660,0.27
2025-03,Vertex AI,C7E2-9256-1C43,0.06,0.00,0.00,0.00,0.061698,0.06
2025-02,Compute Engine,6F81-5844-456A,43488.00,0.00,-17972.63,-769.05,24746.314192,24746.31
2025-02,Cloud Storage,95FF-2EF5-5EA1,6055.74,0.00,0.00,0.00,6055.738670,6055.74
2025-02,Networking,E505-1604-58F8,3429.25,0.00,0.00,-240.77,3188.479592,3188.48
2025-02,Cloud SQL,9662-B51E-5089,7335.31,0.00,-1678.80,-2591.20,3065.307515,3065.31
2025-02,BigQuery,24E6-581D-38E5,1942.22,0.00,0.00,0.00,1942.216139,1942.22
2025-02,Cloud Memorystore for Redis,5AF5-2C11-D467,1357.89,0.00,0.00,0.00,1357.885832,1357.89
2025-02,Cloud Monitoring,58CD-E7C3-72CA,598.67,0.00,0.00,0.00,598.674771,598.67
2025-02,Artifact Registry,149C-F9EC-3994,317.04,0.00,0.00,0.00,317.040438,317.04
2025-02,Cloud Logging,5490-F7B7-8DF6,254.14,0.00,0.00,0.00,254.136682,254.14
2025-02,Kubernetes Engine,CCD8-9BF1-090E,268.77,0.00,0.00,-24.80,243.967517,243.97
2025-02,BigQuery Storage API,DCC9-8DB9-673F,193.54,0.00,0.00,0.00,193.544488,193.54
2025-02,VM Manager,5E18-9A83-2867,132.96,0.00,0.00,0.00,132.957000,132.96
2025-02,Cloud DNS,FA26-5236-B8B5,58.04,0.00,0.00,0.00,58.036282,58.04
2025-02,Secret Manager,EE82-7A5E-871C,33.90,0.00,0.00,0.00,33.901127,33.90
